Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-12-20,The Parallax View,1974,17365,The Parallax View,tt0071970,en,An ambitious reporter gets in trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,15.278,0,"Crime, Drama, Thriller",,1974-06-14,0,102,en,6.792,224,"Paramount, Doubleday Productions, Gus, Harbor Productions",US,English
2021-12-20,The Conversation,1974,592,The Conversation,tt0071360,en,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple is in danger.",17.01,1600000,"Crime, Drama, Mystery",,1974-04-07,4420000,113,en,7.559,1333,"Paramount, The Coppola Company, The Directors Company",US,English
2021-12-21,The Hateful Eight,2015,273248,The Hateful Eight,tt3460252,en,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,35.354,44000000,"Drama, Mystery, Western",http://thehatefuleight.com,2015-12-25,155760117,188,"es, en",7.736,12490,"Double Feature Films, The Weinstein Company, FilmColony",US,"Spanish, English"
2021-12-23,Nymphomaniac: Vol. II,2013,249397,Nymphomaniac: Vol. II,tt2382009,en,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,55.946,0,"Drama, Mystery",http://www.magpictures.com/nymphomaniac,2013-12-25,4934725,124,en,6.8,2522,"Zentropa Entertainments, ARTE France Cinéma","DE, BE, DK, FR, GB, SE",English
2021-12-24,Dial M for Murder,1954,521,Dial M for Murder,tt0046912,en,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead.",11.797,1400000,"Crime, Thriller",,1954-05-29,3000000,105,en,8.026,2098,Warner Bros. Pictures,US,English
2021-12-28,A Woman Under the Influence,1974,29845,A Woman Under the Influence,tt0072417,en,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit her to an institution for six months. Alone with a trio of kids to raise on his own, he awaits her return, which holds more than a few surprises.",11.474,0,Drama,,1974-09-19,0,155,"en, it",7.799,356,Faces International Films,US,"English, Italian"
2021-12-28,Pickpocket,1959,690,Pickpocket,tt0053168,fr,"Michel takes up pickpocketing on a lark and is arrested soon after. His mother dies shortly after his release, and despite the objections of his only friend, Jacques, and his mother's neighbor Jeanne, Michel teams up with a couple of petty thieves in order to improve his craft. With a police inspector keeping an eye on him, Michel also tries to get a straight job, but the temptation to steal is hard to resist.",7.221,0,"Crime, Drama",,1959-12-16,0,75,fr,7.335,385,Lux Compagnie Cinématographique de France,FR,French
2021-12-28,Au Hasard Balthazar,1966,20108,Au hasard Balthazar,tt0060138,fr,"The story of a donkey Balthazar as he is passed from owner to owner, some kind and some cruel but all with motivations beyond his understanding. Balthazar, whose life parallels that of his first keeper, Marie, is truly a beast of burden, suffering the sins of humankind. But despite his powerlessness, he accepts his fate nobly.",7.538,0,Drama,,1966-05-25,39388,96,"fr, la",7.622,332,"Svenska Filminstitutet, Argos Films, SF Studios, Parc Film","FR, SE","French, Latin"
2021-12-28,Pather Panchali,1955,5801,পথের পাঁচালী,tt0048473,bn,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",8.892,0,Drama,,1955-08-26,536364,125,bn,8.084,292,Government of West Bengal,IN,Bengali
2021-12-28,Patriotism,1966,71827,憂國,tt0059936,ja,Two characters on a Noh stage dramatize the rite of love and death of Lieutenant Shinji Takeyama and his wife Reiko.,4.609,0,"Drama, Romance",,1966-04-12,0,30,"ja, xx",6.988,43,"Toho, Art Theatre Guild",JP,"Japanese, No Language"
