Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-05-01,The Truman Show,1998,37165,The Truman Show,tt0120382,en,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life.",55.451,60000000,"Comedy, Drama",,1998-06-04,264118201,103,"en, es",8.1,15405,"Paramount, Scott Rudin Productions",US,"English, Spanish"
2021-05-01,Kick-Ass,2010,23483,Kick-Ass,tt1250777,en,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",56.215,28000000,"Action, Crime",,2010-03-22,96188903,117,en,7.113,10401,"Plan B Entertainment, Lionsgate, Marv Films, Mandate International","GB, US",English
2021-05-01,The Toxic Avenger,1984,15239,The Toxic Avenger,tt0090190,en,Tromaville has a monstrous new hero. The Toxic Avenger is born when mop boy Melvin Junko falls into a vat of toxic waste. Now evildoers will have a lot to lose.,8.725,475000,"Comedy, Horror, Science Fiction",,1984-05-01,800000,82,en,6.36,415,Troma Entertainment,US,English
2021-05-01,Man Bites Dog,1992,10086,C'est arrivé près de chez vous,tt0103905,fr,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",12.197,33000,"Comedy, Crime, Drama, Thriller, Horror",,1992-08-20,205569,96,"fr, it",7.266,720,Les Artistes Anonymes,BE,"French, Italian"
2021-05-01,Death Proof,2007,1991,Death Proof,tt1028528,en,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",22.814,25000000,"Action, Thriller",http://www.deathproof.net/,2007-05-22,31126421,113,en,6.817,4296,"The Weinstein Company, Dimension Films, Troublemaker Studios",US,English
2021-05-01,The Silence of the Lambs,1991,274,The Silence of the Lambs,tt0102926,en,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",9.868,19000000,"Crime, Drama, Thriller",,1991-02-14,272742922,119,en,8.342,13875,"Orion Pictures, Strong Heart/Demme Production",US,English
2021-05-01,Halloween,1978,948,Halloween,tt0077651,en,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",70.956,325000,"Horror, Thriller",http://www.theofficialjohncarpenter.com/halloween/,1978-10-24,70274000,91,en,7.572,4530,"Compass International Pictures, Falcon International Productions",US,English
2021-05-01,Wreck-It Ralph,2012,82690,Wreck-It Ralph,tt1772341,en,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",100.718,165000000,"Family, Animation, Comedy, Adventure",http://disney.go.com/wreck-it-ralph,2012-11-01,471222889,101,en,7.319,10946,"Walt Disney Pictures, Walt Disney Animation Studios",US,English
2021-05-01,Deadpool,2016,293660,Deadpool,tt1431045,en,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",162.88,58000000,"Action, Adventure, Comedy",https://www.20thcenturystudios.com/movies/deadpool,2016-02-09,783100000,108,en,7.601,27506,"20th Century Fox, The Donners' Company, Genre Films",US,English
2021-05-01,The Social Network,2010,37799,The Social Network,tt1285016,en,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",43.293,40000000,Drama,https://www.sonypictures.com/movies/thesocialnetwork,2010-10-01,224920315,121,en,7.342,10407,"Columbia Pictures, Scott Rudin Productions, Relativity Media, Trigger Street Productions, Michael De Luca Productions",US,English
2021-05-01,Jumper,2008,8247,Jumper,tt0489099,en,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",26.801,85000000,"Action, Adventure, Science Fiction",http://www.fox.co.uk/jumper,2008-02-13,222231186,88,en,6.129,4968,"Dune Entertainment, Hypnotic, New Regency Pictures","CA, US",English
2021-05-01,Zodiac,2007,1949,Zodiac,tt0443706,en,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,28.015,65000000,"Crime, Drama, Mystery, Thriller",,2007-03-02,84785914,157,en,7.51,8807,"Paramount, Warner Bros. Pictures, Phoenix Pictures",US,English
