nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm3042028,Bruno Samper,\N,\N,"writer,director,miscellaneous","tt20225374,tt1245721,tt2208216,tt2926810",nm3042028
nm3043504,Kristina Buozyte,1982,\N,"director,writer,producer","tt20225374,tt1245721,tt2926810,tt2208216",nm3043504
nm3102998,Bo Burnham,1990,\N,"actor,writer,soundtrack","tt7014006,tt9620292,tt5462602,tt14544192",nm3102998
nm3125415,Kimo Stamboel,\N,\N,"director,producer,writer","tt10656188,tt2409300,tt1447791,tt1454454",nm3125415
nm3189793,Alexandros Avranas,\N,\N,"director,writer,producer","tt1321505,tt3078242,tt1901024,tt6280810",nm3189793
nm3211470,Robert Eggers,1983,\N,"production_designer,director,writer","tt11138512,tt4263482,tt7984734,tt1330057",nm3211470
nm3212646,Fernando Alle,\N,\N,"editorial_department,special_effects,director","tt2165625,tt3039472,tt3064338,tt1454516",nm3212646
nm3215397,Daniel Scheinert,1987,\N,"director,actor,miscellaneous","tt6710474,tt4034354,tt9356952",nm3215397
nm3227090,Damien Chazelle,1985,\N,"producer,writer,director","tt2582802,tt3783958,tt1213641,tt1179933",nm3227090
nm3230448,Tom Gormican,\N,\N,"writer,producer,director","tt1800246,tt6053538",nm3230448
nm3255797,Dean Fleischer-Camp,\N,\N,"editor,director,writer","tt5721714,tt1805322,tt15339456,tt1344870",nm3255797
nm3304468,John Maclean,\N,\N,"soundtrack,director,writer","tt1950304,tt1403981,tt0146882,tt3205376",nm3304468
nm3311094,Keishi Otomo,\N,\N,"director,writer","tt3029558,tt1979319,tt0956322,tt3029556",nm3311094
nm3326715,Marcelo Colaiacovo,\N,\N,"director,actor,writer","tt12886568,tt5525368,tt13537218,tt8713016",nm3326715
nm3360961,Jorge Blanco,\N,\N,"director,writer,visual_effects","tt0762125,tt0390699,tt0111920,tt2857458",nm3360961
nm3363032,Ryan Coogler,1986,\N,"producer,writer,director","tt9114286,tt3076658,tt2334649,tt1825683",nm3363032
nm3371961,Javier Abad,\N,\N,"director,writer,actor","tt19626050,tt0762125,tt5040624,tt7214954",nm3371961
nm3453283,Dan Kwan,1988,\N,"director,actor,writer","tt6710474,tt4034354,tt11394330",nm3453283
nm3462228,Blake Freeman,\N,\N,"writer,director,producer","tt1612317,tt1884369,tt1893400,tt2312184",nm3462228
nm3464186,Timo Tjahjanto,\N,\N,"writer,director,producer","tt2450186,tt14867006,tt2409300,tt6116856",nm3464186
nm3483756,Marcos Martínez,\N,\N,"director,writer,animation_department","tt2857458,tt0762125,tt6428676,tt0111920",nm3483756
nm3522076,Aharon Keshales,1976,\N,"writer,director,editor","tt8368408,tt2309224,tt1754000,tt11284502",nm3522076
