nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm0001252,Vincent Gallo,1961,\N,"actor,director,soundtrack","tt0106307,tt0118789,tt0330099,tt1561768",nm0001252
nm0001281,Bobcat Goldthwait,1962,\N,"director,actor,writer","tt0102898,tt0119282,tt1912398,tt0096061",nm0001281
nm0001353,Walter Hill,1942,\N,"producer,writer,director","tt0103644,tt0088194,tt0083511,tt0090605",nm0001353
nm0001361,Tobe Hooper,1943,2017,"director,writer,producer","tt0089489,tt0072271,tt0084516,tt0092076",nm0001361
nm0001367,C. Thomas Howell,1966,\N,"actor,producer,director","tt0086066,tt0083866,tt0091209,tt0087985",nm0001367
nm0001392,Peter Jackson,1961,\N,"producer,director,writer","tt0092610,tt0120737,tt0167261,tt0360717",nm0001392
nm0001402,Terry Jones,1942,2020,"writer,actor,producer","tt0118172,tt0079470,tt0085959,tt0071853",nm0001402
nm0001425,Krzysztof Kieslowski,1941,1996,"writer,director,actor","tt0111495,tt0111507,tt0101765,tt0108394",nm0001425
nm0001438,Neil LaBute,1963,\N,"writer,producer,director","tt5811556,tt0450345,tt0171580,tt0119361",nm0001438
nm0001466,Sergio Leone,1929,1989,"assistant_director,writer,director","tt0067140,tt0087843,tt0058461,tt0060196",nm0001466
nm0001486,Sidney Lumet,1924,2011,"director,producer,writer","tt0292963,tt0050083,tt0070666,tt0072890",nm0001486
nm0001501,Louis Malle,1932,1995,"director,writer,producer","tt0051378,tt0080388,tt0092593,tt0071733",nm0001501
nm0001532,John McTiernan,1951,\N,"director,producer,writer","tt0093773,tt0095016,tt0107362,tt0246894",nm0001532
nm0001596,Pier Paolo Pasolini,1922,1975,"writer,director,actor","tt0073650,tt0065622,tt0058715,tt0061613",nm0001596
nm0001661,Rob Reiner,1947,\N,"actor,writer,producer","tt0066626,tt0993846,tt0160916,tt0088258",nm0001661
nm0001675,Robert Rodriguez,1968,\N,"producer,writer,director","tt1077258,tt0287717,tt0104815,tt0462322",nm0001675
nm0001681,George A. Romero,1940,2017,"producer,writer,director","tt0418819,tt0095652,tt0063350,tt0848557",nm0001681
nm0001692,Ken Russell,1927,2011,"director,writer,actor","tt0080360,tt0066858,tt0066993,tt0073812",nm0001692
nm0001708,Joel Schumacher,1939,2020,"director,writer,producer","tt0183649,tt0118688,tt0293508,tt0134273",nm0001708
nm0001716,Tony Scott,1944,2012,"producer,director,actor","tt0116277,tt0108399,tt0477080,tt0421054",nm0001716
nm0001741,Bryan Singer,1965,\N,"producer,director,actor","tt1877832,tt0348150,tt0120903,tt0114814",nm0001741
nm0001752,Steven Soderbergh,1963,\N,"producer,director,cinematographer","tt1291580,tt0181865,tt0098724,tt0195685",nm0001752
nm0001756,Barry Sonnenfeld,1953,\N,"producer,director,actor","tt0119654,tt0106220,tt1409024,tt0120891",nm0001756
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt1608290,tt0359950,tt0942385,tt0196229",nm0001774
nm0001789,Andrei Tarkovsky,1932,1986,"writer,director,actor","tt0091670,tt0069293,tt0060107,tt0086022",nm0001789
nm0001814,Gus Van Sant,1952,\N,"director,producer,writer","tt0842929,tt0102494,tt0363589,tt0097240",nm0001814
nm0001837,Peter Weir,1944,\N,"director,writer,producer","tt0311113,tt1023114,tt0090329,tt0097165",nm0001837
nm0001878,David Zucker,1947,\N,"writer,producer,director","tt0080339,tt0362120,tt0102510,tt0088286",nm0001878
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt4003440,tt0870984,tt0276919,tt0168629",nm0001885
nm0001901,Chantal Akerman,1950,2015,"director,writer,actress","tt0078152,tt0071690,tt0073198,tt4881016",nm0001901
nm0001988,Marc Caro,1956,\N,"director,writer,actor","tt0118583,tt0487928,tt0112682,tt0101700",nm0001988
nm0002020,Costa-Gavras,1933,\N,"director,writer,producer","tt0422015,tt0065234,tt0280653,tt0084335",nm0002020
nm0002030,George Cukor,1899,1983,"director,miscellaneous,assistant_director","tt0032904,tt0058385,tt0036855,tt0050631",nm0002030
nm0002031,Michael Curtiz,1886,1962,"director,writer,actor","tt0026174,tt0029843,tt0037913,tt0034583",nm0002031
nm0002120,Lasse Hallström,1946,\N,"director,writer,cinematographer","tt0089606,tt0108550,tt0241303,tt0989757",nm0002120
nm0002132,Amy Heckerling,1954,\N,"writer,director,producer","tt3973820,tt0115137,tt0097778,tt0083929",nm0002132
nm0002340,Stuart Gordon,1947,2020,"writer,director,producer","tt0758786,tt0106950,tt0091083,tt0089885",nm0002340
nm0002653,Joe Johnston,1950,\N,"director,visual_effects,producer","tt0082971,tt0458339,tt0132477,tt0102803",nm0002653
nm0002728,Juan José Campanella,1959,\N,"writer,director,actor","tt1305806,tt8453986,tt0210843,tt1994702",nm0002728
nm0002892,Wally Pfister,1961,\N,"cinematographer,camera_department,director","tt0482571,tt1375666,tt0468569,tt0372784",nm0002892
nm0003160,Christopher McQuarrie,1968,\N,"writer,producer,director","tt1631867,tt0114814,tt4912910,tt2345759",nm0003160
nm0003408,Chris Marker,1921,2012,"writer,director,editor","tt0114746,tt0084628,tt0054799,tt0056119",nm0003408
nm0003418,Rob Cohen,1949,\N,"producer,director,actor","tt0382992,tt0106770,tt0093894,tt0116136",nm0003418
