imdb_id,tconst,averageRating,numVotes
tt5710514,tt5710514,6.9,58477
tt0065193,tt0065193,7.2,881
tt1564585,tt1564585,4.5,90178
tt1379182,tt1379182,7.2,96700
tt0397892,tt0397892,6.8,211860
tt0241760,tt0241760,5.8,36210
tt0253556,tt0253556,6.2,137469
tt0059578,tt0059578,8.2,256832
tt0050986,tt0050986,8.1,107732
tt0050986,tt0050986,8.1,107732
tt1854564,tt1854564,5.7,118984
tt0837562,tt0837562,7.0,256563
tt0137223,tt0137223,8.5,25
tt3078242,tt3078242,7.1,8659
tt2582846,tt2582846,7.7,377169
tt0266697,tt0266697,8.2,1109711
tt1324999,tt1324999,4.9,241377
tt0451079,tt0451079,6.8,141454
tt0086190,tt0086190,8.3,1048544
tt0332379,tt0332379,7.2,306551
tt0351283,tt0351283,6.9,404233
tt0120363,tt0120363,7.9,579857
tt0434409,tt0434409,8.2,1118090
tt0047396,tt0047396,8.5,490515
tt0052357,tt0052357,8.3,401875
tt0058461,tt0058461,7.9,217912
tt0167261,tt0167261,8.8,1655745
tt0033467,tt0033467,8.3,441646
tt0814255,tt0814255,5.8,189860
tt1104001,tt1104001,6.8,337939
tt0800003,tt0800003,3.6,11243
tt0411477,tt0411477,7.0,272825
tt0479952,tt0479952,6.6,228484
tt0099365,tt0099365,6.4,65320
tt0162222,tt0162222,7.8,590493
tt0100157,tt0100157,7.8,212688
tt0038650,tt0038650,8.6,453784
tt0167260,tt0167260,9.0,1833695
tt1446714,tt1446714,7.0,609585
tt1037222,tt1037222,4.7,1278
tt0109830,tt0109830,8.8,2060585
tt0436339,tt0436339,5.1,47051
tt1014759,tt1014759,6.4,415368
tt0366548,tt0366548,6.4,186979
tt0119707,tt0119707,3.6,55183
tt0113855,tt0113855,5.8,118720
tt0138704,tt0138704,7.3,179237
tt0112573,tt0112573,8.4,1034287
tt0110413,tt0110413,8.5,1154098
tt2209764,tt2209764,6.2,229996
tt2172935,tt2172935,7.1,17714
tt0780536,tt0780536,7.9,425759
tt0099685,tt0099685,8.7,1152296
tt0117951,tt0117951,8.1,685710
tt0327554,tt0327554,3.4,120153
tt0097576,tt0097576,8.2,752088
tt1389137,tt1389137,7.1,144436
tt1675434,tt1675434,8.5,852778
tt1277953,tt1277953,6.8,182372
tt1836944,tt1836944,6.3,15245
tt1065073,tt1065073,7.9,354774
tt2361423,tt2361423,7.7,1494
tt1840309,tt1840309,6.6,460611
tt2872718,tt2872718,7.8,544252
tt1634122,tt1634122,6.3,131926
tt0790736,tt0790736,5.6,134035
tt1606378,tt1606378,5.2,207878
tt0844471,tt0844471,6.9,233768
tt1078912,tt1078912,6.0,197477
tt0084503,tt0084503,8.0,81502
tt0307453,tt0307453,6.0,184163
tt0021749,tt0021749,8.5,184822
tt0413267,tt0413267,6.1,307462
tt0088763,tt0088763,8.5,1195798
tt1869716,tt1869716,6.8,50812
tt1911644,tt1911644,6.7,123232
tt1486185,tt1486185,5.4,112847
tt0983193,tt0983193,7.3,231804
tt0892782,tt0892782,6.4,163225
tt0430922,tt0430922,6.8,232401
tt1068680,tt1068680,6.8,363047
tt0358082,tt0358082,6.4,148442
tt0120746,tt0120746,6.8,185259
tt0811080,tt0811080,6.0,74314
tt0293662,tt0293662,6.8,304591
tt0865556,tt0865556,6.5,106299
tt0095647,tt0095647,7.8,101439
tt0268380,tt0268380,7.5,482769
tt0975645,tt0975645,6.8,76451
tt1192628,tt1192628,7.2,266347
tt1231583,tt1231583,6.5,344532
tt0433035,tt0433035,7.0,329819
tt1001526,tt1001526,7.3,262634
tt0106856,tt0106856,7.6,191047
tt0963966,tt0963966,6.1,162979
tt0960144,tt0960144,5.6,203165
tt0257106,tt0257106,5.3,162934
tt0449010,tt0449010,5.1,127008
tt0032553,tt0032553,8.4,224006
tt1234721,tt1234721,6.2,229218
tt1929263,tt1929263,5.8,27372
tt0120667,tt0120667,5.7,330888
tt0389860,tt0389860,6.4,332447
tt1023111,tt1023111,6.5,102189
tt0175142,tt0175142,6.2,262406
tt0442933,tt0442933,6.3,168869
tt0477347,tt0477347,6.4,348426
tt0259324,tt0259324,5.2,240299
tt0298148,tt0298148,7.3,462696
tt0120912,tt0120912,6.1,376113
tt1071875,tt1071875,4.3,120291
tt1482459,tt1482459,6.4,114092
tt3063516,tt3063516,6.5,95585
tt2024469,tt2024469,6.9,265391
tt1453405,tt1453405,7.2,359945
tt1428538,tt1428538,6.1,207484
tt1302011,tt1302011,7.2,285582
tt1375670,tt1375670,5.9,253228
tt0914863,tt0914863,7.0,88757
tt0074285,tt0074285,7.4,189048
tt0093870,tt0093870,7.6,259424
tt0120657,tt0120657,6.6,125500
tt0242653,tt0242653,6.7,513256
tt1764651,tt1764651,6.6,308136
tt2404463,tt2404463,6.6,173265
tt1821694,tt1821694,6.6,172058
tt0401729,tt0401729,6.6,273680
tt1436562,tt1436562,6.9,228584
tt1133985,tt1133985,5.5,285749
tt1409024,tt1409024,6.8,363876
tt1155076,tt1155076,6.2,184846
tt1037705,tt1037705,6.8,319149
tt1190080,tt1190080,5.8,378372
tt0405325,tt0405325,6.3,88148
tt0435761,tt0435761,8.3,832800
tt0892769,tt0892769,8.1,737371
tt0448157,tt0448157,6.4,482639
tt0385002,tt0385002,7.4,151852
tt0099088,tt0099088,7.4,446499
tt1318514,tt1318514,7.6,528945
tt1542344,tt1542344,7.6,377425
tt1136608,tt1136608,7.9,681296
tt0356150,tt0356150,6.6,210596
tt0389790,tt0389790,6.1,163259
tt0258463,tt0258463,7.9,546893
