,index,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers,name_year,Date,Name,Year,Letterboxd URI,my_rating
14,14,6.2,130481,Jeepers Creepers,2001,en,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.,10000000.0,"['Horror', ' Thriller']",2001-07-01,59217789.0,90.0,['en'],6.432,2436.0,"['United Artists', ' American Zoetrope', ' Cinerenta Medienbeteiligungs KG', ' Cinerenta-Cinebeta', ' VCL Communications']","['DE', ' US']",1,Victor Salva,Victor Salva,Jeepers Creepers 2001,2021-09-07,Jeepers Creepers,2001.0,https://boxd.it/1ZAg,6.0
15,15,7.3,140246,Raising Arizona,1987,en,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",6000000.0,"['Comedy', ' Crime']",1987-03-01,29180280.0,94.0,['en'],7.026,1697.0,"['20th Century Fox', ' Circle Films']",['US'],1,,,Raising Arizona 1987,2022-02-03,Raising Arizona,1987.0,https://boxd.it/2avQ,6.0
16,16,6.1,189852,A Million Ways to Die in the West,2014,en,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",40000000.0,"['Comedy', ' Western']",2014-05-22,86410000.0,116.0,['en'],5.996,3567.0,"['MRC', ' Fuzzy Door Productions', ' Bluegrass Films', ' RGB Media']",['US'],1,Seth MacFarlane,,A Million Ways to Die in the West 2014,2021-09-07,A Million Ways to Die in the West,2014.0,https://boxd.it/5H9k,7.0
17,17,7.1,252723,The Intern,2015,en,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",35000000.0,['Comedy'],2015-09-23,194564672.0,121.0,['en'],7.189,5784.0,['Waverly Films'],['US'],1,Nancy Meyers,Nancy Meyers,The Intern 2015,2021-09-07,The Intern,2015.0,https://boxd.it/7AOE,6.0
18,18,6.9,124907,Nymphomaniac: Vol. I,2013,en,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",0.0,['Drama'],2013-12-25,13545832.0,118.0,['en'],6.9,2901.0,"['Zentropa Entertainments', ' ARTE France Cinéma', ' Canal+', ' Det Danske Filminstitut', ' DR', ' Les Films du Losange', ' CNC', ' Eurimages', ' Svenska Filminstitutet', ' Caviar', ' Film i Väst', ' Slot Machine', ' Zentropa International Sweden', ' Zentropa International Köln', ' Zentropa International France', ' Ciné+', ' Artificial Eye', ' Heimatfilm', ' Zenbelgie BVBA', ' Groupe Grand Accord']","['BE', ' DK', ' FR', ' DE', ' GB']",1,Lars von Trier,Lars von Trier,Nymphomaniac: Vol. I 2013,2021-09-07,Nymphomaniac: Vol. I,2013.0,https://boxd.it/7DiG,9.0
19,19,7.5,279460,Nocturnal Animals,2016,en,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",22500000.0,"['Drama', ' Thriller']",2016-11-04,29252978.0,117.0,['en'],7.452,6747.0,"['Universal Pictures', ' Artina Films', ' Fade to Black Productions', ' Focus Features']",['US'],1,Tom Ford,,Nocturnal Animals 2016,2021-09-07,Nocturnal Animals,2016.0,https://boxd.it/bkFu,7.0
20,20,5.6,11575,Triple Threat,2019,en,"A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target.",10000000.0,"['Thriller', ' Action']",2019-03-19,0.0,96.0,"['id', ' zh', ' th', ' en']",6.396,486.0,"['Hamilton Entertainment', ' SC Films Thailand Co.', ' Kungfuman Culture Media', ' Aurora Alliance Films']","['US', ' CN', ' TH']",1,Jesse V. Johnson,,Triple Threat 2019,2021-09-07,Triple Threat,2019.0,https://boxd.it/g2ke,4.0
21,21,7.5,186260,Upgrade,2018,en,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",5000000.0,"['Action', ' Thriller', ' Science Fiction']",2018-05-31,16593554.0,100.0,['en'],7.5,3561.0,"['Blumhouse Productions', ' Goalpost Pictures', ' Automatik Entertainment', ' Film Victoria', ' Nervous Tick']","['AU', ' US']",1,Leigh Whannell,Leigh Whannell,Upgrade 2018,2022-01-05,Upgrade,2018.0,https://boxd.it/i4gW,8.0
22,22,6.3,58595,Freaky,2020,en,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",5000000.0,"['Comedy', ' Fantasy', ' Horror', ' Thriller']",2020-11-12,15104310.0,102.0,"['en', ' es']",6.622,1159.0,"['Universal Pictures', ' Blumhouse Productions', ' Divide / Conquer']",['US'],1,Christopher Landon,,Freaky 2020,2022-05-21,Freaky,2020.0,https://boxd.it/ka42,4.0
23,23,7.3,160357,Nomadland,2020,en,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",5000000.0,['Drama'],2020-12-04,14784114.0,108.0,['en'],7.259,2442.0,"['Highwayman Films', ' Cor Cordium Productions', ' Hear/Say Productions']",['US'],1,Chloé Zhao,,Nomadland 2020,2021-09-07,Nomadland,2020.0,https://boxd.it/lnRy,8.0
24,24,8.0,394712,Zack Snyder's Justice League,2021,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",70000000.0,"['Action', ' Adventure', ' Fantasy', ' Science Fiction']",2021-03-18,657900000.0,242.0,['en'],8.244,8289.0,"['Warner Bros. Pictures', ' Dune Entertainment', ' Atlas Entertainment', ' Access Entertainment', ' The Stone Quarry', ' DC Films']",['US'],1,Zack Snyder,,Zack Snyder's Justice League 2021,2022-05-21,Zack Snyder's Justice League,2021.0,https://boxd.it/tLOk,6.0
25,25,6.3,141954,The Invention of Lying,2009,en,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",18500000.0,"['Comedy', ' Fantasy', ' Romance']",2009-09-13,32406507.0,100.0,['en'],6.184,1733.0,"['Warner Bros. Pictures', ' Radar Pictures', ' MRC', ' Lin Pictures', ' Wintergreen Productions', ' Lynda Obst Productions', ' 1821 Pictures']",['US'],1,,,The Invention of Lying 2009,2021-09-07,The Invention of Lying,2009.0,https://boxd.it/1zGs,6.0
26,26,7.7,21748,Missing,1982,en,Based on the real-life experiences of Ed Horman. A conservative American businessman travels to Chile to investigate the sudden disappearance of his son after a military takeover. Accompanied by his son's wife he uncovers a trail of cover-ups that implicate the US State department which supports the dictatorship.,0.0,"['Drama', ' Mystery', ' Thriller']",1982-02-12,14000000.0,123.0,"['en', ' es']",7.289,295.0,['Universal Pictures'],"['MX', ' US']",1,Costa-Gavras,,Missing 1982,2021-09-07,Missing,1982.0,https://boxd.it/1LTI,8.0
27,27,7.1,64476,Timecrimes,2007,es,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2600000.0,"['Science Fiction', ' Thriller']",2007-10-05,553198.0,92.0,['es'],6.995,1031.0,"['Arsénico Producciones', ' Zip Films', ' Fine Productions', ' Karbo Vantas Entertainment', ' Basque Films']",['ES'],1,Nacho Vigalondo,Nacho Vigalondo,Timecrimes 2007,2021-09-07,Timecrimes,2007.0,https://boxd.it/1OGM,7.0
28,28,7.8,46056,Lilya 4-ever,2002,sv,"Lilja lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilja hangs out with her friends, Natasha and Volodya, who is suicidal. Desperate for money, she starts working as a prostitute, and later meets Andrei. He offers her a good job in Sweden, but when Lilja arrives her life quickly enters a downward spiral.",4600000.0,"['Crime', ' Drama']",2002-08-23,1007747.0,109.0,"['ru', ' sv', ' en']",7.615,434.0,"['Zentropa Entertainments', ' Det Danske Filminstitut', ' Memfis Film', ' Svenska Filminstitutet', ' Film i Väst', ' SVT', ' Nordisk Film & TV Fond']","['DK', ' SE']",1,Lukas Moodysson,Lukas Moodysson,Lilya 4-ever 2002,2021-09-07,Lilya 4-ever,2002.0,https://boxd.it/1SyW,9.0
29,29,5.7,84509,John Tucker Must Die,2006,en,"After discovering they are all dating the same same guy, three popular students from different cliques band together for revenge, so they enlist the help of a new gal in town and conspire to break the jerk's heart, while destroying his reputation.",18000000.0,"['Comedy', ' Romance']",2006-07-27,68844775.0,87.0,['en'],6.2,1204.0,"['20th Century Fox', ' Dune Entertainment', ' Major Studio Partners', ' Landscape Entertainment', ' John US Productions']","['CA', ' US']",1,Betty Thomas,Jeff Lowell,John Tucker Must Die 2006,2021-09-07,John Tucker Must Die,2006.0,https://boxd.it/1Z2S,6.0
30,30,7.8,349646,About Time,2013,en,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",12000000.0,"['Drama', ' Romance', ' Fantasy']",2013-09-04,87100449.0,123.0,['en'],7.906,7193.0,"['Universal Pictures', ' Relativity Media', ' Working Title Films', ' Translux']",['GB'],1,Richard Curtis,Richard Curtis,About Time 2013,2021-09-07,About Time,2013.0,https://boxd.it/43bI,7.0
31,31,8.0,57398,Mommy,2014,fr,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",4900000.0,['Drama'],2014-09-19,3494070.0,138.0,"['fr', ' en']",8.268,2375.0,"['Téléfilm Canada', ' Canadian Film or Video Production Tax Credit (CPTC)', ' SODEC', ' Super Écran', ' Metafilms', ' Sons of Manual', ' Les Films Séville', ' Radio Canada', ' ARTV']",['CA'],1,Xavier Dolan,Xavier Dolan,Mommy 2014,2021-09-07,Mommy,2014.0,https://boxd.it/7Uau,6.0
32,32,7.3,495743,Split,2016,en,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",9000000.0,"['Horror', ' Thriller']",2016-11-15,278454358.0,117.0,['en'],7.33,15453.0,"['Universal Pictures', ' Blumhouse Productions', ' Blinding Edge Pictures']",['US'],1,M. Night Shyamalan,M. Night Shyamalan,Split 2016,2021-09-07,Split,2016.0,https://boxd.it/dgSy,7.0
33,33,8.0,326812,Soul,2020,en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",150000000.0,"['Animation', ' Family', ' Comedy', ' Fantasy', ' Drama']",2020-12-25,136384442.0,101.0,['en'],8.173,8550.0,"['Walt Disney Pictures', ' Pixar']",['US'],1,,,Soul 2020,2022-09-27,Soul,2020.0,https://boxd.it/ioLA,7.0
34,34,6.7,39830,The Vast of Night,2019,en,"At the dawn of the space-race, two radio-obsessed teens discover a strange frequency over the airwaves in what becomes the most important night of their lives and in the history of their small town.",0.0,"['Mystery', ' Science Fiction', ' Thriller', ' Drama']",2019-06-01,0.0,91.0,['en'],6.6,819.0,"['Amazon Studios', ' GEO Media']",['US'],1,Andrew Patterson,,The Vast of Night 2019,2021-09-07,The Vast of Night,2019.0,https://boxd.it/kJyc,7.0
35,35,7.7,156013,Another Round,2020,da,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,5150000.0,"['Comedy', ' Drama']",2020-09-24,21700000.0,117.0,"['da', ' sv']",7.702,2223.0,"['Zentropa Entertainments', ' Det Danske Filminstitut', ' TV 2', ' Eurimages', ' Svenska Filminstitutet', ' Film i Väst', ' Topkapi Films', ' StudioCanal UK', ' Creative Europe Media Programme Of The European Union']","['DK', ' NL', ' SE']",1,Thomas Vinterberg,,Another Round 2020,2021-09-07,Another Round,2020.0,https://boxd.it/lkba,9.0
36,36,6.3,132890,I Care a Lot,2020,en,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,0.0,"['Comedy', ' Crime', ' Thriller', ' Drama']",2021-02-19,0.0,119.0,['en'],6.627,2171.0,"['Black Bear Pictures', ' STX Entertainment', ' Crimple Beck']","['GB', ' US']",1,J Blakeson,J Blakeson,I Care a Lot 2020,2022-01-06,I Care a Lot,2020.0,https://boxd.it/mcHk,2.0
37,37,6.2,145322,Killing Them Softly,2012,en,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",15000000.0,"['Crime', ' Thriller']",2012-07-30,37930465.0,97.0,['en'],6.024,1783.0,"['Plan B Entertainment', ' 1984 Private Defense Contractors', ' Annapurna Pictures', ' Inferno Entertainment', ' Chockstone Pictures']",['US'],1,Andrew Dominik,,Killing Them Softly 2012,2021-09-07,Killing Them Softly,2012.0,https://boxd.it/IQ,4.0
38,38,7.6,3522,The Working Class Goes to Heaven,1971,it,A conscientious factory worker gets his finger cut off by a machine. The accident causes him to become more involved in political and revolutionary groups.,0.0,['Drama'],1971-09-17,0.0,112.0,['it'],7.9,289.0,['Euro International Film'],['IT'],1,Elio Petri,,The Working Class Goes to Heaven 1971,2021-09-07,The Working Class Goes to Heaven,1971.0,https://boxd.it/pCe,6.0
39,39,7.5,507836,The Conjuring,2013,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",13000000.0,"['Horror', ' Thriller']",2013-07-18,319494638.0,112.0,['en'],7.533,9851.0,"['New Line Cinema', ' The Safran Company', ' Evergreen Media Group']",['US'],1,James Wan,,The Conjuring 2013,2021-09-07,The Conjuring,2013.0,https://boxd.it/4sr2,8.0
40,40,7.3,271132,The Conjuring 2,2016,en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,40000000.0,"['Horror', ' Thriller']",2016-06-08,320392818.0,134.0,['en'],7.28,7142.0,"['New Line Cinema', ' Dune Entertainment', ' The Safran Company', ' Evergreen Media Group', ' Atomic Monster']",['US'],1,James Wan,,The Conjuring 2 2016,2021-09-07,The Conjuring 2,2016.0,https://boxd.it/7GJg,5.0
41,41,6.9,80014,Sorry to Bother You,2018,en,"In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe.",0.0,"['Fantasy', ' Science Fiction', ' Comedy']",2018-07-06,0.0,112.0,['en'],6.843,1255.0,"['Cinereach', ' Significant Productions', ' MACRO', ' MNM Creative', ' The Space Program']",['US'],1,Boots Riley,Boots Riley,Sorry to Bother You 2018,2021-09-07,Sorry to Bother You,2018.0,https://boxd.it/f21E,8.0
42,42,7.7,127540,Sound of Metal,2019,en,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",0.0,"['Drama', ' Music']",2020-11-20,516520.0,121.0,"['en', ' fr']",7.75,1954.0,"['Ward Four', ' Flat 7', ' Caviar']",['US'],1,Darius Marder,,Sound of Metal 2019,2021-09-07,Sound of Metal,2019.0,https://boxd.it/i7Q4,6.0
43,43,7.9,619862,Knives Out,2019,en,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",40000000.0,"['Comedy', ' Crime', ' Mystery']",2019-11-27,309232797.0,131.0,"['es', ' en']",7.856,9481.0,"['Lionsgate', ' MRC', ' T-Street Productions']",['US'],1,Rian Johnson,Rian Johnson,Knives Out 2019,2021-09-07,Knives Out,2019.0,https://boxd.it/jWEA,8.0
44,44,7.9,4304,Struggle: The Life and Lost Art of Szukalski,2018,en,"The remarkable life story of the pre-war Polish artist Stanislav Szukalski, documented by the American friends he made late in life.",0.0,['Documentary'],2018-12-21,0.0,104.0,['pl'],7.532,63.0,"['Appian Way', ' Norah Films', ' Film Street']","['PL', ' US']",1,Ireneusz Dobrowolski,,Struggle: The Life and Lost Art of Szukalski 2018,2021-12-24,Struggle: The Life and Lost Art of Szukalski,2018.0,https://boxd.it/kIiW,8.0
45,45,7.1,227944,The Invisible Man,2020,en,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7000000.0,"['Thriller', ' Science Fiction', ' Horror']",2020-02-26,130234661.0,124.0,['en'],7.144,4831.0,"['Universal Pictures', ' Blumhouse Productions', ' Goalpost Pictures', ' Screen Australia', ' Nervous Tick']","['AU', ' US']",1,Leigh Whannell,,The Invisible Man 2020,2022-01-05,The Invisible Man,2020.0,https://boxd.it/kWlA,7.0
46,46,6.7,49533,The Call,2020,en,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",109000000.0,"['Adventure', ' Family', ' Drama']",2020-02-19,111105497.0,100.0,['en'],7.575,3001.0,"['3 Arts Entertainment', ' TSG Entertainment', ' 20th Century Studios', ' Halon Entertainment']","['CA', ' US']",1,Chris Sanders,,The Call 2020,2021-09-07,The Call,2020.0,https://boxd.it/l94W,6.0
47,47,7.3,498117,Tenet,2020,en,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",205000000.0,"['Action', ' Thriller', ' Science Fiction']",2020-08-22,363129000.0,150.0,"['en', ' et']",7.208,7722.0,"['Warner Bros. Pictures', ' Syncopy']","['GB', ' US']",1,Christopher Nolan,Christopher Nolan,Tenet 2020,2021-12-24,Tenet,2020.0,https://boxd.it/leq4,9.0
48,48,7.6,82841,The Social Dilemma,2020,en,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",0.0,"['Documentary', ' Drama']",2020-01-26,0.0,94.0,['en'],7.502,1297.0,"['Exposure Labs', ' Argent Pictures', ' The Space Program']",['US'],1,Jeff Orlowski-Yang,,The Social Dilemma 2020,2021-09-07,The Social Dilemma,2020.0,https://boxd.it/opQI,5.0
