imdb_id,averageRating,numVotes,date_watched,title,release_year,original_title,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full,Watched,directors_name,writers_name
tt0443453,7.3,409728,2022-01-10,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,en,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",13.443,18000000.0,Comedy,http://www.boratmovie.com/,2006-11-01,262552893.0,84.0,"en, he, hy, pl, ro",6.736,4552.0,"20th Century Fox, Dune Entertainment, Major Studio Partners, Everyman Pictures, One America, Four by Two Films","GB, US","English, Hebrew, Armenian, Polish, Romanian",0,Larry Charles,
tt1149362,7.8,74040,2022-01-14,The White Ribbon,2009,Das weiße Band - Eine deutsche Kindergeschichte,de,"Strange events happen in a small village in the north of Germany during the years just before World War I, which seem to be ritual punishment. The abused and suppressed children of the villagers seem to be at the heart of this mystery.",11.432,21555450.0,"Drama, Mystery",http://www.sonyclassics.com/thewhiteribbon/,2009-09-24,11652157.0,144.0,"de, it, la, pl",7.506,851.0,"X Filme Creative Pool, Les Films du Losange, wega film vienna, Lucky Red","AT, CA, FR, DE, IT","German, Italian, Latin, Polish",0,Michael Haneke,Michael Haneke
tt0383028,7.5,92283,2022-01-14,"Synecdoche, New York",2008,"Synecdoche, New York",en,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",10.854,20000000.0,Drama,http://www.sonyclassics.com/synecdocheny,2008-10-24,4383538.0,124.0,"en, de",7.655,1151.0,"Likely Story, Projective Testing Service",US,"English, German",0,Charlie Kaufman,Charlie Kaufman
tt6491178,6.9,46887,2022-02-08,Dragged Across Concrete,2018,Dragged Across Concrete,en,"Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows.",16.165,15000000.0,"Crime, Action, Thriller",,2018-09-03,660132.0,159.0,"en, es",6.569,764.0,"Unified Pictures, The Fyzz, Look to the Sky Films, Cinestate, Moot Point (Dragged) Productions, Realmbuilders Productions, Victory Square Technologies","CA, US","English, Spanish",0,S. Craig Zahler,S. Craig Zahler
tt13453006,7.2,23662,2022-02-09,Red Rocket,2021,Red Rocket,en,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.",13.338,1100000.0,"Comedy, Drama",http://redrocket.movie,2021-12-10,2200000.0,130.0,en,6.78,236.0,"FilmNation Entertainment, Cre Film",US,English,0,Sean Baker,
tt0189814,7.6,579,2022-02-23,Men and Women,1964,Noite Vazia,pt,"Two friends take two prostitutes for a night of pleasure. But the night turns out to be frustrating for all involved, as much bitterness is revealed in their conversation and attitudes, uncovering their anguish and deeper feelings, and the emptiness of their lives.",1.662,0.0,Drama,,1964-06-19,0.0,93.0,pt,7.2,20.0,"Companhia Cinematográfica Vera Cruz, Kamera Filmes",BR,Portuguese,0,Walter Hugo Khouri,Walter Hugo Khouri
tt0092563,7.2,89265,2022-03-02,Angel Heart,1987,Angel Heart,en,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",12.39,17000000.0,"Horror, Mystery",http://alanparker.com/film/angel-heart/,1987-03-06,17186348.0,113.0,"en, fr",7.109,1222.0,"Carolco Pictures, TriStar Pictures, Winkast Film Productions, Union","CA, GB, US","English, French",0,Alan Parker,
tt7984734,7.4,216004,2022-03-20,The Lighthouse,2019,The Lighthouse,en,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,22.187,11000000.0,"Drama, Fantasy, Thriller, Horror",https://a24films.com/films/the-lighthouse,2019-10-18,18123239.0,109.0,en,7.528,3754.0,"Parts and Labor, New Regency Pictures, RT Features, A24, Maiden Voyage Pictures","BR, CA, US",English,0,Robert Eggers,
tt0088041,7.3,542,2022-03-21,Farewell to the Ark,1984,さらば箱舟,ja,"A surreal, isolated village sees its inhabitants gradually leave behind their mutual traditions and superstitions as they leave for the city. Among them are two cousins who love each other and who get into a quarrel with other villagers.",3.357,0.0,"Fantasy, Mystery, Romance",,1984-09-08,0.0,127.0,ja,7.0,16.0,Art Theatre Guild,JP,Japanese,0,Shûji Terayama,
tt0064040,8.1,23853,2022-03-31,Army of Shadows,1969,L'Armée des ombres,fr,"Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.",7.762,0.0,"War, Drama, Thriller",,1969-09-10,741766.0,145.0,"de, en, fr",7.947,496.0,"Fono Roma, Les Films Corona","FR, IT","German, English, French",0,Jean-Pierre Melville,
tt0090163,8.0,16062,2022-04-20,Threads,1984,Threads,en,"Documentary style account of a nuclear holocaust and its effect on the working class city of Sheffield, England; and the eventual long run effects of nuclear war on civilization.",9.969,420000.0,"War, Drama, Science Fiction",,1984-09-23,0.0,117.0,"en, ru",7.663,212.0,"BBC, Nine Network Australia, Western-World Television Inc.",GB,"English, Russian",0,Mick Jackson,Barry Hines
tt0074958,8.1,160060,2022-04-20,Network,1976,Network,en,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.",11.076,3800000.0,Drama,,1976-11-14,23689877.0,122.0,en,7.863,1360.0,"Metro-Goldwyn-Mayer, United Artists",US,English,0,Sidney Lumet,Paddy Chayefsky
