,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers
10,7.3,5608,The Masters of Time,1982,fr,"On planet Perdide, an attack of giant hornets leaves Piel – a young boy – alone in a wrecked car with his dying father. A mayday message reaches their friend Jaffar, an adventurer travelling through space. On board Jaffar’s shuttle are the renegade Prince Matton, his fiancée, and Silbad who knows the planet Perdide well. Thus begins an incredible race across space to save Piel.",0.0,"['Animation', ' Drama', ' Science Fiction', ' Mystery']",1982-03-24,0.0,75.0,['fr'],7.479,120.0,"['WDR', ' TF1 Films Production', ' Télécip', ' BBC', ' Hungarofilm', ' SRG SSR', ' RTS', ' Südwestfunk (SWF)', ' Pannónia Filmstúdió']","['FR', ' DE', ' HU', ' CH', ' GB']",0,René Laloux,
11,8.2,8840,The Ascent,1977,ru,"Two Soviet partisans leave their starving band to get supplies from a nearby farm. The Germans have reached the farm first, so the pair must go on a journey deep into occupied territory, a voyage that will also take them deep into their souls.",0.0,"['Drama', ' War']",1977-04-02,0.0,111.0,"['de', ' ru']",7.886,145.0,"['Mosfilm', ' Tretye Tvorcheskoe Obyedinenie']",['SU'],0,Larisa Shepitko,
12,4.5,12,Shame,1968,en,"A pretty young girl arrives in New York City to make it in ""the Big Apple"", but winds up getting involved with lesbians, an escort service and the underground bondage scene.",0.0,['Drama'],1969-10-07,0.0,79.0,,0.0,0.0,,['US'],0,Joseph Jacoby,
13,8.0,34472,Cries and Whispers,1972,sv,"As Agnes slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria is wracked with guilt at her husband's attempted suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin seems to regard her sister with revulsion. Only Anna, the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy.",400000.0,['Drama'],1972-12-21,0.0,95.0,['sv'],8.0,560.0,"['Svenska Filminstitutet', ' Cinematograph AB']",['SE'],0,Ingmar Bergman,Ingmar Bergman
14,7.0,3612,Tokyo Fist,1995,ja,"A businessman, Tsuda, runs into a childhood friend, Tajuki, on the subway. Tajuki is working as a semiprofessional boxer. Tsuda soon begins to suspect that Tajuki might be having an affair with his fiancée Hizuru. After an altercation, Tsuda begins training rigorously himself, leading to an extremely bloody, violent confrontation.",0.0,"['Romance', ' Action', ' Drama', ' Thriller']",1995-10-21,0.0,87.0,['ja'],6.59,94.0,['Kaijyu Theater'],['JP'],0,Shin'ya Tsukamoto,
15,8.2,3206,Edvard Munch,1974,no,"A biographical film about the Norwegian Expressionist painter Edvard Munch. It was originally created as a three-part miniseries co-produced by the Norwegian and Swedish state television networks, but subsequently gained an American theatrical release in a three-hour version in 1976. The film covers about thirty years of Munch's life, focusing on the influences that shaped his art, particularly the prevalence of disease and death in his family and his youthful affair with a married woman.",0.0,"['Drama', ' History', ' TV Movie']",1974-11-12,0.0,221.0,"['en', ' fr', ' de', ' no']",7.1,52.0,"['Sveriges Radio (SR)', ' Norsk Film']","['NO', ' SE']",0,Peter Watkins,Peter Watkins
16,7.8,49396,The Man Who Would Be King,1975,en,"A robust adventure about two British adventurers who take over primitive Kafiristan as ""godlike"" rulers, meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.",8000000.0,"['Adventure', ' Drama']",1975-12-03,12678.0,129.0,['en'],7.508,492.0,"['Persky-Bright Productions', ' Devon']","['US', ' GB']",0,John Huston,
17,8.1,106690,"Paris, Texas",1984,en,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",1746964.0,['Drama'],1984-08-23,2181987.0,145.0,"['es', ' en']",8.1,1354.0,"['20th Century Fox', ' Road Movies', ' WDR', ' Channel Four Films', ' Pro-ject Filmproduktion', ' Argos Films', ' Wim Wenders Stiftung']","['FR', ' DE', ' GB']",0,Wim Wenders,
18,7.3,8090,The Ax,2005,fr,"A chemist loses his job to outsourcing. Two years later and still jobless, he hits on a solution: to genuinely eliminate his competition.",0.0,"['Comedy', ' Crime', ' Drama', ' Thriller']",2005-03-02,0.0,122.0,"['fr', ' nl']",6.903,145.0,"['France 2 Cinéma', ' StudioCanal', ' RTBF', ' Les Films du Fleuve', ' Wanda Visión', ' SCOPE Pictures', ' K.G Productions']","['BE', ' FR', ' ES']",0,Costa-Gavras,
19,7.8,57656,"Aguirre, the Wrath of God",1972,de,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.",370000.0,"['Adventure', ' Drama', ' History']",1972-12-29,37041.0,95.0,"['de', ' es', ' qu']",7.544,870.0,"['Werner Herzog Filmproduktion', ' HR']","['DE', ' MX', ' PE']",0,Werner Herzog,Werner Herzog
20,7.4,1805,In the Year of the Pig,1969,en,"Both sober and sobering, producer-director Emile de Antonio’s In the Year of the Pig is a powerful and, no doubt for many, controversial documentary about the Vietnam War.",0.0,"['Documentary', ' War']",1969-02-26,0.0,101.0,['en'],7.0,19.0,['Turin Film'],['US'],0,Emile de Antonio,
21,7.6,2086,The Mattei Affair,1972,it,"Enrico Mattei helped change Italy’s future, first as freedom-fighter against the Nazis, then as an investor in methane gas through a public company, A.G.I.P., and ultimately as the head of ENI, a state body formed for the development of oil resources. On October 27, 1962, he died when his private airplane crashed during a flight to Milan. Officially, it is declared an accident, but many journalists explore other plausible reasons for Mattei's untimely death.",0.0,"['Crime', ' Drama', ' History', ' Thriller']",1972-01-26,0.0,110.0,['it'],7.456,68.0,"['Verona Produzione', ' Vides Cinematografica']",['IT'],0,Francesco Rosi,
22,7.8,58624,Days of Heaven,1978,en,"In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.",0.0,"['Drama', ' Romance']",1978-09-13,0.0,94.0,"['en', ' it']",7.514,803.0,['Paramount'],['US'],0,Terrence Malick,Terrence Malick
